Name,Quantity,Component
"U1",1," Arduino Uno R3"
"PIR1",1," PIR Sensor"
"D1",1,"Red LED"
"R1",1,"220 Ω Resistor"
"PIEZO1",1," Piezo"
"R2",1,"100 Ω Resistor"
